package_name,installed_version,architecture,latest_version
hydra,8.2-2,amd64,8.3-2
hydra-gtk,8.2-2,amd64,8.3-2
i2c-tools,3.1.1-1,amd64,3.1.2-3
i965-va-driver,1.7.1-1,amd64,1.7.3-1
iceweasel,45.3.0esr-1,all,45.7.0esr-4
icu-devtools,57.1-3,amd64,57.1-5
ifenslave,2.7,all,2.9
ifupdown,0.8.13,amd64,0.8.19
ike-scan,1.9-4+b2,amd64,1.9.4-1
imagemagick,8:6.8.9.9-7.2,amd64,8:6.9.7.4+dfsg-1
imagemagick-6.q16,8:6.8.9.9-7.2,amd64,8:6.9.7.4+dfsg-1
imagemagick-common,8:6.8.9.9-7.2,all,8:6.9.7.4+dfsg-1
info,6.1.0.dfsg.1-8,amd64,6.3.0.dfsg.1-1+b1
init,1.42kali1,amd64,1.47kali1
init-system-helpers,1.42kali1,all,1.47kali1
initramfs-tools,0.125,all,0.127
initramfs-tools-core,0.125,all,0.127
install-info,6.1.0.dfsg.1-8,amd64,6.3.0.dfsg.1-1+b1
intel-microcode,3.20160714.1,amd64,3.20161104.1
iodine,0.7.0-6,amd64,0.7.0-7
iproute,1:4.6.0-4,all,1:4.9.0-1
iproute2,4.6.0-4,amd64,4.9.0-1
iptables,1.6.0-3,amd64,1.6.0+snapshot20161117-5
iputils-ping,3:20150815-2,amd64,3:20161105-1
ipython,2.4.1-1,all,5.1.0-3
irqbalance,1.1.0-2,amd64,1.1.0-2.2
isc-dhcp-client,4.3.4-1,amd64,4.3.5-3
isc-dhcp-common,4.3.4-1,amd64,4.3.5-3
iso-codes,3.70-1,all,3.74-1
iucode-tool,1.6.1-1,amd64,2.1.1-1
iw,3.17-1,amd64,4.9-0.1
jarwrapper,0.58,all,0.59
java-common,0.57,all,0.58
kali-defaults,2016.2.4,all,2017.1.0
kali-desktop-common,2016.2.12,all,2017.1.3
kali-desktop-gnome,2016.2.12,all,2017.1.3
kali-linux,2016.2.12,amd64,2017.1.3
kali-linux-sdr,2016.2.12,amd64,2017.1.3
kali-menu,2016.3.0,all,2017.1.1
keyboard-configuration,1.147,all,1.158
kismet,2016.01.R1-1,amd64,2016.07.R1-1
kmod,22-1.1,amd64,23-2
krb5-config,2.3,all,2.6
krb5-locales,1.14.3+dfsg-1,all,1.15-1
krb5-multidev,1.14.3+dfsg-1,amd64,1.15-1
krb5-user,1.14.3+dfsg-1,amd64,1.15-1
laudanum,1.0-0kali0,all,1.0+r36-0kali1
ldap-utils,2.4.42+dfsg-2+b2,amd64,2.4.44+dfsg-3
lib32asan3,6.1.1-11,amd64,6.3.0-6
lib32atomic1,6.1.1-11,amd64,6.3.0-6
lib32cilkrts5,6.1.1-11,amd64,6.3.0-6
lib32gcc-6-dev,6.1.1-11,amd64,6.3.0-6
lib32gcc1,1:6.1.1-11,amd64,1:6.3.0-6
lib32gomp1,6.1.1-11,amd64,6.3.0-6
lib32itm1,6.1.1-11,amd64,6.3.0-6
lib32mpx2,6.1.1-11,amd64,6.3.0-6
lib32quadmath0,6.1.1-11,amd64,6.3.0-6
lib32stdc++6,6.1.1-11,amd64,6.3.0-6
lib32ubsan0,6.1.1-11,amd64,6.3.0-6
liba52-0.7.4,0.7.4-18,amd64,0.7.4-19
libaacs0,0.8.1-1,amd64,0.8.1-2
libaccountsservice0,0.6.40-3,amd64,0.6.43-1
libafflib0v5,3.7.8-1,amd64,3.7.15-1
libairspy0,1.0.8-1,amd64,1.0.9-1
libantlr3-runtime-java,3.5.2-5,all,3.5.2-6
libao-common,1.1.0-3,amd64,1.2.2-1
libao4,1.1.0-3,amd64,1.2.2-1
libapache2-mod-php,1:7.0+44,all,1:7.0+49
libapache2-mod-php7.0,7.0.10-1,amd64,7.0.15-1
